2025-10-01 12:01:01,user123,/home
2025-10-01 12:03:15,user456,/about
2025-10-01 12:04:30,user123,/products
2025-10-01 12:10:05,user789,/home
2025-10-01 12:15:20,user456,/products
2025-10-02 09:15:10,user789,/home
2025-10-02 10:22:05,user123,/home
2025-10-02 11:05:30,user456,/contact
2025-10-02 11:15:45,user123,/about
2025-10-02 12:00:00,user789,/products
2025-10-03 08:30:10,user123,/home
2025-10-03 09:45:22,user456,/home
2025-10-03 10:15:55,user789,/about
2025-10-03 11:05:40,user123,/contact
2025-10-03 12:00:30,user456,/products
